State,Rate,Signage,Bracket
Alabama,6.50%,>,$0
Alaska,0.00%,>,$0
Alaska,2.00%,>,"$25,000"
Alaska,3.00%,>,"$49,000"
Alaska,4.00%,>,"$74,000"
Alaska,5.00%,>,"$99,000"
Alaska,6.00%,>,"$124,000"
Alaska,7.00%,>,"$148,000"
Alaska,8.00%,>,"$173,000"
Alaska,9.00%,>,"$198,000"
Alaska,9.40%,>,"$222,000"
Arizona,4.90%,>,$0
Arkansas,1.00%,>,$0
Arkansas,2.00%,>,"$3,000"
Arkansas,3.00%,>,"$5,000"
Arkansas,4.30%,>,"$11,000"
California,8.84%,>,$0
Colorado (a),4.40%,>,$0
Connecticut (b),7.50%,>,$0
Connecticut (b),8.25%,>,"$100,000,000"
Delaware (c),8.70%,>,$0
Florida,5.50%,>,"$50,000"
Georgia (d),5.39%,>,$0
Hawaii,4.40%,>,$0
Hawaii,5.40%,>,"$25,000"
Hawaii,6.40%,>,"$100,000"
Idaho,5.695%,>,$0
Illinois (e),9.50%,>,$0
Indiana,4.90%,>,$0
Iowa,5.50%,>,$0
Iowa,7.10%,>,"$100,000"
Kansas,3.50%,>,$0
Kansas,6.50%,>,"$50,000"
Kentucky,5.00%,>,$0
Louisiana,5.50%,>,$0
Maine,3.50%,>,$0
Maine,7.93%,>,"$350,000"
Maine,8.33%,>,"$1,050,000"
Maine,8.93%,>,"$3,500,000"
Maryland,8.25%,>,$0
Massachusetts,8.00%,>,$0
Michigan,6.00%,>,$0
Minnesota,9.80%,>,$0
Mississippi,4.00%,>,"$5,000"
Mississippi,5.00%,>,"$10,000"
Missouri,4.00%,>,$0
Montana,6.75%,>,$0
Nebraska,5.20%,>,$0
Nevada,,(c),
New Hampshire,7.50%,>,$0
New Jersey (f),6.50%,>,$0
New Jersey (f),7.50%,>,"$50,000"
New Jersey (f),9.00%,>,"$100,000"
New Jersey (f),11.5%,>,"$10,000,000"
New Mexico,5.90%,>,$0
New York,6.50%,>,$0
New York,7.25%,>,"$5,000,000"
North Carolina,2.25%,>,$0
North Dakota,1.41%,>,$0
North Dakota,3.55%,>,"$25,000"
North Dakota,4.31%,>,"$50,000"
Ohio,,(c),
Oklahoma,4.00%,>,$0
Oregon (c),6.60%,>,$0
Oregon (c),7.60%,>,"$1,000,000"
Pennsylvania,7.99%,>,$0
Rhode Island,7.00%,>,$0
South Carolina,5.00%,>,$0
South Dakota,,None,
Tennessee (c),6.50%,>,$0
Texas,,(c),
Utah,4.55%,>,$0
Vermont,6.00%,>,$0
Vermont,7.00%,>,"$10,000"
Vermont,8.50%,>,"$25,000"
Virginia,6.00%,>,$0
Washington,,(c),
West Virginia,6.50%,>,$0
Wisconsin,7.90%,>,$0
Wyoming,,None,
"Washington, D.C.",8.25%,>,$0
